# Landmark AI/ML/CS papers — always include regardless of date filter
# Format: arxiv_id | title

# === Transformer & Attention ===
1611.01578 | Neural Architecture Search with Reinforcement Learning
1806.09055 | DARTS: Differentiable Architecture Search

# === Regularization & Optimization ===
1207.0580  | Dropout
1412.6980  | Adam
2304.01373 | Sophia: A Scalable Stochastic Second-order Optimizer

# === Interpretability ===
1602.04938 | Why Should I Trust You? Explaining Predictions of Any Classifier (LIME)
1705.07874 | A Unified Approach to Interpreting Model Predictions (SHAP)

# === Classic ML ===
1206.4635  | Practical Bayesian Optimization of Machine Learning Algorithms
1503.02531 | Distilling the Knowledge in a Neural Network (Knowledge Distillation)
1207.7214  | Theano: A Python framework for fast computation of mathematical expressions
